Title,Price,Details,URL
BRAND NEW SINGLE HOUSE FOR SALE IN KOTTAWA,"Rs 19,000,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/brand-new-single-house-for-sale-in-kottawa-for-sale-colombo-97
Modern 3BR Luxury House for Sale in Athurugiriya – 2km to Highway,"Rs 23,000,000","Bedrooms: 3, Bathrooms: 3",https://ikman.lk/en/ad/modern-3br-luxury-house-for-sale-in-athurugiriya-2km-to-highway-for-sale-colombo
Modern Designed Brand New House for Sale Mount Lavinia,"Rs 105,000,000","Bedrooms: 5, Bathrooms: 6",https://ikman.lk/en/ad/modern-designed-brand-new-house-for-sale-mount-lavinia-for-sale-colombo-2
Malabe Two Story House for Sale,"Rs 38,000,000","Bedrooms: 4, Bathrooms: 2",https://ikman.lk/en/ad/malabe-two-story-house-for-sale-for-sale-colombo-3
House for Sale Piliyandala/kesbewa 20p Land,"Rs 24,500,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/house-for-sale-piliyandala-kesbewa-20p-land-for-sale-colombo-1
House for Sale in Panadura,"Rs 70,000,000","Bedrooms: 5, Bathrooms: 3",https://ikman.lk/en/ad/house-for-sale-in-panadura-for-sale-kalutara-2345
House for Sale in Mount Lavinia,"Rs 98,000,000","Bedrooms: 5, Bathrooms: 3",https://ikman.lk/en/ad/house-for-sale-in-mount-lavinia-for-sale-colombo-1222
Perfect Built Royal Luxury 4 Br Upstairs New House For Sale In Negombo,"Rs 47,500,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/perfect-built-royal-luxury-4-br-upstairs-new-house-for-sale-in-negombo-for-sale-gampaha
𝗛𝗢𝗨𝗦𝗘 𝗙𝗢𝗥 𝗦𝗔𝗟𝗘 – 𝗧𝗛𝗔𝗟𝗔𝗛𝗘𝗡𝗔,"Rs 44,500,000","Bedrooms: 5, Bathrooms: 5",https://ikman.lk/en/ad/for-sale-colombo-3982
House For Sale In Gampaha,"Rs 145,000,000","Bedrooms: 6, Bathrooms: 4",https://ikman.lk/en/ad/house-for-sale-in-gampaha-for-sale-gampaha-2218
New House for Sale in Wattala ( Enderamulla ),"Rs 33,000,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/new-house-for-sale-in-wattala-enderamulla-for-sale-gampaha-27
House for Sale Piliyandala with 20p Land,"Rs 24,500,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/house-for-sale-piliyandala-with-20p-land-for-sale-colombo
New Luxury House for Sale - Kandana,"Rs 69,000,000","Bedrooms: 4, Bathrooms: 4",https://ikman.lk/en/ad/new-luxury-house-for-sale-kandana-for-sale-gampaha-2
Boralesgamuwa Dream Family Home,"Rs 65,000,000","Bedrooms: 5, Bathrooms: 5",https://ikman.lk/en/ad/boralesgamuwa-dream-family-home-for-sale-colombo
Premium Family Home in Nedimala – Lift Garage,"Rs 180,000,000","Bedrooms: 4, Bathrooms: 4",https://ikman.lk/en/ad/premium-family-home-in-nedimala-lift-garage-for-sale-colombo
House for Sale in Rathnapura,"Rs 32,500,000","Bedrooms: 2, Bathrooms: 1",https://ikman.lk/en/ad/house-for-sale-in-rathnapurartnpur-paandura8-prdhaan-paartt-muhunnlaa-for-sale-ratnapura
Single storied|House for sale in wadduwa,"Rs 17,000,000","Bedrooms: 3, Bathrooms: 1",https://ikman.lk/en/ad/single-storiedhouse-for-sale-in-wadduwa-for-sale-kalutara-6
House for Sale Minuwangoda,"Rs 18,500,000","Bedrooms: 2, Bathrooms: 1",https://ikman.lk/en/ad/big-city-for-sale-gampaha
House for Sale in Kurunegala,"Rs 12,900,000","Bedrooms: 4, Bathrooms: 2",https://ikman.lk/en/ad/house-for-sale-in-kurunegala-for-sale-kurunegala-1695
